,muestra,AMCM,GDL,MTY,PROV,28 CDS,AMCM_upm,GDL_upm,MTY_upm,PROV_upm,28 CDS_upm
0,0,0.8013172338090011,0.8027322404371585,0.8002159827213823,0.8059233801677954,0.8035277764463404,668,167,167,923,1925
1,1,0.8006001091107474,0.8027322404371585,0.8002159827213823,0.7999601910828026,0.8005981247979308,334,167,167,467,1135
2,2,0.8080393765381461,0.8027322404371585,0.8002159827213823,0.8116805721096544,0.8075648589671058,334,167,167,467,1135
3,3,0.8136102760317027,0.8027322404371585,0.8002159827213823,0.7983710766785856,0.8037979797979798,334,167,167,467,1135
4,4,0.8084468664850136,0.8027322404371585,0.8002159827213823,0.8036575562700965,0.8044289422452953,334,167,167,467,1135
5,5,0.8048179578428689,0.8027322404371585,0.8002159827213823,0.7954004758128469,0.7999838436061071,334,167,167,467,1135
6,6,0.8051700680272109,0.8027322404371585,0.8002159827213823,0.8004788507581804,0.8021667070903065,334,167,167,467,1135
7,7,0.8161521499448732,0.8027322404371585,0.8002159827213823,0.8055834504920667,0.8074700952070958,334,167,167,467,1135
8,8,0.7925561029009305,0.8027322404371585,0.8002159827213823,0.8093152866242038,0.8020226537216828,334,167,167,467,1135
9,9,0.8016889131026969,0.8027322404371585,0.8002159827213823,0.8188709355675244,0.8085880640465793,334,167,167,467,1135
10,10,0.7911098991000818,0.8027322404371585,0.8002159827213823,0.8036,0.7992550004048911,334,167,167,467,1135
11,11,0.7965179542981502,0.8027322404371585,0.8002159827213823,0.805083049829898,0.8014569000404694,334,167,167,467,1135
12,12,0.7992880613362541,0.8027322404371585,0.8002159827213823,0.8069366479550922,0.8030352215549423,334,167,167,467,1135
13,13,0.7996177996177997,0.8027322404371585,0.8002159827213823,0.8045518067478539,0.8021693378662781,334,167,167,467,1135
14,14,0.8024116196218142,0.8027322404371585,0.8002159827213823,0.8078227898623029,0.8043266893534273,334,167,167,467,1135
15,15,0.8111019055509527,0.8027322404371585,0.8002159827213823,0.8047030689517736,0.8056164272380488,334,167,167,467,1135
16,16,0.8056095529019717,0.8027322404371585,0.8002159827213823,0.8111873990306947,0.8066203514507561,334,167,167,467,1135
17,17,0.8046321525885558,0.8027322404371585,0.8002159827213823,0.8077308231524134,0.8049412717699473,334,167,167,467,1135
18,18,0.7838058887677208,0.8027322404371585,0.8002159827213823,0.8129395218002813,0.8008436764825181,334,167,167,467,1135
19,19,0.7963317820969067,0.8027322404371585,0.8002159827213823,0.804873177551428,0.8013287959812024,334,167,167,467,1135
20,20,0.7969306659358728,0.8027322404371585,0.8002159827213823,0.7963000201085864,0.7980331599479844,334,167,167,467,1135
21,21,0.8057455540355677,0.8027322404371585,0.8002159827213823,0.8113357114546175,0.806751191149156,334,167,167,467,1135
22,22,0.7887634260534289,0.8027322404371585,0.8002159827213823,0.803,0.7983432144887517,334,167,167,467,1135
23,23,0.8018894137260351,0.8027322404371585,0.8002159827213823,0.8165834165834166,0.8077486570079766,334,167,167,467,1135
24,24,0.8170798898071625,0.8027322404371585,0.8002159827213823,0.7939828651125722,0.803016786959695,334,167,167,467,1135
25,25,0.8167396061269147,0.8027322404371585,0.8002159827213823,0.8085234093637454,0.808852140077821,334,167,167,467,1135
26,26,0.8112427666023698,0.8027322404371585,0.8002159827213823,0.8027265437048917,0.8048621839173916,334,167,167,467,1135
27,27,0.7949346405228758,0.8027322404371585,0.8002159827213823,0.8002010050251256,0.7990104631356963,334,167,167,467,1135
28,28,0.7921611923820039,0.8027322404371585,0.8002159827213823,0.8034290271132376,0.7995292589887184,334,167,167,467,1135
29,29,0.7993357320786051,0.8027322404371585,0.8002159827213823,0.8045862412761715,0.8021121039805037,334,167,167,467,1135
30,30,0.8003802281368821,0.8027322404371585,0.8002159827213823,0.8040391921615677,0.8021835826930853,334,167,167,467,1135
31,31,0.809145673603505,0.8027322404371585,0.8002159827213823,0.802536231884058,0.8041781824093643,334,167,167,467,1135
32,32,0.7949277338423779,0.8027322404371585,0.8002159827213823,0.8067361668003208,0.8016535624544054,334,167,167,467,1135
33,33,0.7934932451061484,0.8027322404371585,0.8002159827213823,0.8153448618564898,0.8047811993517018,334,167,167,467,1135
34,34,0.8028780885147977,0.8027322404371585,0.8002159827213823,0.8046344386735917,0.8031687009942607,334,167,167,467,1135
35,35,0.8050108932461874,0.8027322404371585,0.8002159827213823,0.8142458100558659,0.8076985282225457,334,167,167,467,1135
