,muestra,AMCM,GDL,MTY,PROV,28 CDS,AMCM_upm,GDL_upm,MTY_upm,PROV_upm,28 CDS_upm
20,20,0.7991492509709636,0.8027322404371585,0.8002159827213823,0.8096843809009981,0.8043992001454281,499,167,167,689,1522
21,21,0.8016348773841961,0.8027322404371585,0.8002159827213823,0.8062989997296567,0.8036780223093156,499,167,167,689,1522
22,22,0.8005833029529712,0.8027322404371585,0.8002159827213823,0.8082727027755322,0.8042194092827004,499,167,167,689,1522
23,23,0.8013523391812866,0.8027322404371585,0.8002159827213823,0.809369076631465,0.8049576783555018,499,167,167,689,1522
24,24,0.7919647771051184,0.8027322404371585,0.8002159827213823,0.8111954459203036,0.8026770032099813,499,167,167,689,1522
25,25,0.8035055350553506,0.8027322404371585,0.8002159827213823,0.8091613429386978,0.8055774955951152,499,167,167,689,1522
26,26,0.7996676514032496,0.8027322404371585,0.8002159827213823,0.8005932317648645,0.8004844081138359,499,167,167,689,1522
27,27,0.7994858611825193,0.8027322404371585,0.8002159827213823,0.804973645087174,0.802383977733406,499,167,167,689,1522
28,28,0.804860088365243,0.8027322404371585,0.8002159827213823,0.8070581823136667,0.8050811402175895,499,167,167,689,1522
29,29,0.796228487733431,0.8027322404371585,0.8002159827213823,0.8070460704607046,0.8022270636649722,499,167,167,689,1522
30,30,0.8052304316020483,0.8027322404371585,0.8002159827213823,0.8073008549328267,0.8053150917125734,499,167,167,689,1522
31,31,0.8020967445282324,0.8027322404371585,0.8002159827213823,0.8057359307359307,0.8035854884622373,499,167,167,689,1522
32,32,0.8052234688247195,0.8027322404371585,0.8002159827213823,0.8106973595125254,0.8068347067377606,499,167,167,689,1522
33,33,0.8034966308504826,0.8027322404371585,0.8002159827213823,0.8115785202218314,0.8066521791621393,499,167,167,689,1522
34,34,0.798787210584344,0.8027322404371585,0.8002159827213823,0.8079622132253711,0.8034958267811781,499,167,167,689,1522
35,35,0.7980892889950395,0.8027322404371585,0.8002159827213823,0.8034964087274699,0.8012603005332041,499,167,167,689,1522
36,36,0.7982824776173945,0.8027322404371585,0.8002159827213823,0.8060426220663609,0.8024624298388557,499,167,167,689,1522
37,37,0.7967194987099152,0.8027322404371585,0.8002159827213823,0.8074743658931463,0.8026029055690073,499,167,167,689,1522
38,38,0.8071309809717347,0.8027322404371585,0.8002159827213823,0.8064121722592039,0.8055420515313564,499,167,167,689,1522
39,39,0.8011760382212422,0.8027322404371585,0.8002159827213823,0.802053776516687,0.8016338880484115,499,167,167,689,1522
40,40,0.8015800110233328,0.8027322404371585,0.8002159827213823,0.8069440691704944,0.8039571610092576,499,167,167,689,1522
41,41,0.8008077841013402,0.8027322404371585,0.8002159827213823,0.8034627350196132,0.8021425977484566,499,167,167,689,1522
42,42,0.8024805627545354,0.8027322404371585,0.8002159827213823,0.8038498034431341,0.8028673835125448,499,167,167,689,1522
43,43,0.7975358587716072,0.8027322404371585,0.8002159827213823,0.8091997822536745,0.8036191401505951,499,167,167,689,1522
44,44,0.8017870167760759,0.8027322404371585,0.8002159827213823,0.801059206952743,0.8013914095583787,499,167,167,689,1522
45,45,0.805575935436537,0.8027322404371585,0.8002159827213823,0.8133926165454055,0.8081662237255376,499,167,167,689,1522
46,46,0.8002931476731403,0.8027322404371585,0.8002159827213823,0.8083581282120639,0.8041611225353816,499,167,167,689,1522
47,47,0.8042836041358936,0.8027322404371585,0.8002159827213823,0.8024073573167433,0.8028134853262188,499,167,167,689,1522
48,48,0.7976710334788938,0.8027322404371585,0.8002159827213823,0.7991325562483058,0.7991664653297899,499,167,167,689,1522
