,muestra,AMCM,GDL,MTY,PROV,28 CDS,AMCM_upm,GDL_upm,MTY_upm,PROV_upm,28 CDS_upm
0,0,0.8013172338090011,0.8027322404371585,0.8002159827213823,0.8059233801677954,0.8035277764463404,668,167,167,923,1925
1,1,0.7946839325268359,0.8024439918533605,0.7859554355165429,0.8048626060529315,0.7994019138755981,534,134,134,738,1540
2,2,0.7966683839945046,0.7928913192071086,0.7853297442799462,0.8064149513827503,0.7999520699778324,534,134,134,738,1540
3,3,0.8080273270708795,0.7950987066031314,0.7994579945799458,0.8091747756855807,0.806677436725902,534,134,134,738,1540
4,4,0.798734610123119,0.812373907195696,0.797986577181208,0.8066186686876342,0.8036076932266157,534,134,134,738,1540
5,5,0.7959883421909824,0.8058384249830278,0.793939393939394,0.8069576217583808,0.8018687110685194,534,134,134,738,1540
6,6,0.7971237801746276,0.8060522696011004,0.8048452220726783,0.8058018748416519,0.8026986506746626,534,134,134,738,1540
7,7,0.7981115879828327,0.7990495587236931,0.7935656836461126,0.8033118442674757,0.8002514819471888,534,134,134,738,1540
8,8,0.8022317596566524,0.8004087193460491,0.8186702484889188,0.8001265022137888,0.8025409001018757,534,134,134,738,1540
9,9,0.8012411653163247,0.802054794520548,0.8015978695073236,0.8041132410816301,0.8027043269230769,534,134,134,738,1540
10,10,0.801980198019802,0.8040955631399317,0.8215258855585831,0.8055590650663298,0.8055788339518736,534,134,134,738,1540
11,11,0.802375624031675,0.8126286890871655,0.7896156439649359,0.8044191919191919,0.8031075649409083,534,134,134,738,1540
12,12,0.8019580900034352,0.7959044368600683,0.7882037533512064,0.8078093306288032,0.8029639407211856,534,134,134,738,1540
13,13,0.8043665119477393,0.7954856361149111,0.7989240080699395,0.8036143055731075,0.802745967983692,534,134,134,738,1540
14,14,0.8012369008761381,0.8113079019073569,0.7982456140350878,0.8055625790139065,0.8039086385708291,534,134,134,738,1540
15,15,0.8064405028413983,0.8142372881355933,0.7808496291301416,0.8087341772151899,0.805940594059406,534,134,134,738,1540
16,16,0.7968134315573069,0.7982216142270862,0.8022636484687083,0.8069752694990489,0.8022294138798993,534,134,134,738,1540
17,17,0.7988971221781836,0.8104976141785958,0.8018741633199464,0.8068339427562728,0.8039532794249775,534,134,134,738,1540
18,18,0.8006187693365417,0.8055744391570361,0.7881241565452092,0.8025130092651351,0.8008408408408408,534,134,134,738,1540
19,19,0.7973484848484849,0.7963464140730717,0.7990654205607477,0.8005561172901922,0.7989338763775755,534,134,134,738,1540
20,20,0.7961729027848966,0.7995951417004049,0.8165879973027647,0.8082312839287968,0.8039906804468606,534,134,134,738,1540
21,21,0.8000684697021568,0.8143547273982057,0.8101694915254237,0.8023314749113026,0.8032777044062913,534,134,134,738,1540
22,22,0.8087881908685204,0.8009478672985783,0.8062542488103331,0.8067809427779178,0.8069188412736413,534,134,134,738,1540
23,23,0.8003789183603169,0.8042291950886766,0.7981029810298103,0.8066270393322372,0.8034824377063945,534,134,134,738,1540
24,24,0.8050206327372765,0.7956989247311828,0.7995978552278821,0.800126742712294,0.8013903871509049,534,134,134,738,1540
25,25,0.8011996572407883,0.81160409556314,0.808338937457969,0.806463830324454,0.805242997366531,534,134,134,738,1540
26,26,0.8050282195997948,0.7972789115646258,0.8088235294117647,0.8033992897006595,0.8039168712942445,534,134,134,738,1540
27,27,0.8017403173519877,0.8097826086956522,0.8090787716955942,0.8067131095630146,0.8054525887839292,534,134,134,738,1540
28,28,0.7983787512935495,0.7961956521739131,0.8053872053872054,0.8089646464646465,0.8038380809595203,534,134,134,738,1540
29,29,0.7996225767713159,0.8105335157318742,0.7979933110367893,0.8034630940343782,0.8022517666786442,534,134,134,738,1540
30,30,0.7981824417009602,0.8002717391304348,0.8005372733378107,0.8058375634517766,0.8021951658369819,534,134,134,738,1540
31,31,0.8075936377629553,0.8050615595075239,0.7965194109772423,0.8082087661515075,0.8066718572198599,534,134,134,738,1540
32,32,0.8032087386926097,0.8031442241968558,0.805256064690027,0.8076582838367243,0.8054907590166877,534,134,134,738,1540
33,33,0.7965345685366272,0.8015058179329226,0.8044354838709677,0.806484295845998,0.8023869497421134,534,134,134,738,1540
34,34,0.807355215672796,0.7941576086956522,0.8084677419354839,0.8079847908745247,0.8065870778091068,534,134,134,738,1540
35,35,0.7992508087859697,0.8006802721088435,0.790247160988644,0.8090955155814543,0.8032150113541293,534,134,134,738,1540
36,36,0.7959148346892851,0.8109756097560976,0.7887989203778677,0.8060040363269425,0.8014163115885495,534,134,134,738,1540
37,37,0.7986218776916452,0.7953772943575799,0.7909151636606546,0.8100290514083618,0.8030557219892152,534,134,134,738,1540
38,38,0.7997946611909651,0.7995910020449898,0.7868295994568907,0.8062523635446868,0.8016988694143686,534,134,134,738,1540
39,39,0.8057951017592273,0.811217510259918,0.8093306288032455,0.8048718919601161,0.8061457208018246,534,134,134,738,1540
40,40,0.8001712328767123,0.7991831177671885,0.8026845637583893,0.8123331214240305,0.8060489678348536,534,134,134,738,1540
41,41,0.8041681019634861,0.8044806517311609,0.8026845637583893,0.8043040523533853,0.8041280287167215,534,134,134,738,1540
42,42,0.80333218825146,0.7943989071038251,0.8057795698924731,0.8080808080808081,0.8050197675811669,534,134,134,738,1540
43,43,0.7994161085351194,0.8099455040871935,0.815114709851552,0.8125395820139328,0.8079553635709144,534,134,134,738,1540
44,44,0.801025641025641,0.8044959128065395,0.8126272912423625,0.8053410960637893,0.8043973160795591,534,134,134,738,1540
45,45,0.7987690203453581,0.7995896032831737,0.7987967914438503,0.7978293791014639,0.7983981830135676,534,134,134,738,1540
46,46,0.8019580900034352,0.8215024121295658,0.8091706001348618,0.8072304386297561,0.8068038639227215,534,134,134,738,1540
47,47,0.7967758531984223,0.8094585332419465,0.8074576271186441,0.8032890575585073,0.8019196160767846,534,134,134,738,1540
48,48,0.8007538118896693,0.8034013605442177,0.7910447761194029,0.8035242290748899,0.8014468492167882,534,134,134,738,1540
49,49,0.8000684111510176,0.8012295081967213,0.803788903924222,0.8107834451335274,0.8055721989215099,534,134,134,738,1540
50,50,0.7993127147766323,0.7991831177671885,0.7991886409736308,0.8022670025188917,0.8006942781900885,534,134,134,738,1540
51,51,0.8017552916881776,0.8132322536181944,0.7885791978246091,0.8072824156305506,0.8042130604875113,534,134,134,738,1540
52,52,0.8041272570937231,0.7849389416553596,0.7955314827352742,0.8059852903880295,0.8025462406918088,534,134,134,738,1540
53,53,0.8024158757549612,0.807351940095303,0.7987886944818304,0.8065085771947528,0.8044729583882959,534,134,134,738,1540
54,54,0.7979676197037547,0.7905544147843943,0.8099730458221024,0.8035917541418995,0.8010565494056909,534,134,134,738,1540
55,55,0.8025030001714384,0.8036684782608695,0.8012170385395537,0.8020503733704595,0.8022774947557687,534,134,134,738,1540
56,56,0.8100395392814166,0.8092643051771117,0.8066889632107024,0.80877504438245,0.8090723628945158,534,134,134,738,1540
57,57,0.8036451169188445,0.7947154471544715,0.8071236559139785,0.8051750380517504,0.8038886221795487,534,134,134,738,1540
58,58,0.794298395356777,0.797676008202324,0.8100067613252198,0.8068066801619433,0.8019037356321839,534,134,134,738,1540
59,59,0.8014111168473584,0.7978067169294037,0.8132975151108126,0.8046253001390118,0.8036828214971209,534,134,134,738,1540
60,60,0.803326474622771,0.8031123139377537,0.7919732441471572,0.8065900770104785,0.8038383355255291,534,134,134,738,1540
61,61,0.7997943092218032,0.8005390835579514,0.7909336941813261,0.8069262970950146,0.8024461898195335,534,134,134,738,1540
62,62,0.7963343610825625,0.8130584192439863,0.7912751677852349,0.8094876660341556,0.8035714285714286,534,134,134,738,1540
63,63,0.8003792449577659,0.7972789115646258,0.7901069518716578,0.8012375299911605,0.7995924727316313,534,134,134,738,1540
64,64,0.801990391214825,0.8010899182561307,0.7962340282447882,0.8098252722208154,0.8051076074575865,534,134,134,738,1540
65,65,0.8024478538183072,0.7907293796864349,0.8176271186440678,0.8090782652674169,0.8059092000960846,534,134,134,738,1540
66,66,0.801719690455718,0.8014755197853789,0.80658159838818,0.8073186119873818,0.8047846889952153,534,134,134,738,1540
67,67,0.7954741751597858,0.8068493150684931,0.8018741633199464,0.8016163657027402,0.7999639899171768,534,134,134,738,1540
68,68,0.8032955715756952,0.8025956284153005,0.7944929482874412,0.8067407220398889,0.8040835878091133,534,134,134,738,1540
69,69,0.7951059796656902,0.8017771701982228,0.8156123822341858,0.8049089068825911,0.8021733909702209,534,134,134,738,1540
70,70,0.7979070166409332,0.7941773865944483,0.7962466487935657,0.8068425703825275,0.8016627788743346,534,134,134,738,1540
71,71,0.7984021757606663,0.8127978216473791,0.8006688963210702,0.8051586799848274,0.803055621866794,534,134,134,738,1540
72,72,0.8047863247863248,0.8012295081967213,0.7938213566151779,0.7990424593675192,0.8007765830346476,534,134,134,738,1540
73,73,0.8008948545861297,0.7973901098901099,0.7985274431057564,0.8080040526849037,0.8037461727802125,534,134,134,738,1540
74,74,0.7983595352016405,0.7914402173913043,0.8120759837177748,0.8064028232921603,0.8027731293330146,534,134,134,738,1540
75,75,0.8036144578313253,0.7995896032831737,0.799055967633176,0.8033864038412939,0.8027476153338533,534,134,134,738,1540
76,76,0.8025368529310936,0.803122878479294,0.8012088650100738,0.8025268477574227,0.8024654419244809,534,134,134,738,1540
77,77,0.8006535947712419,0.8,0.7977150537634409,0.8013404147698533,0.8006594724220624,534,134,134,738,1540
78,78,0.800785250938887,0.8013745704467354,0.8061911170928667,0.805253851982824,0.8034336304360831,534,134,134,738,1540
79,79,0.7994146005509641,0.8027303754266212,0.7997284453496266,0.8081180811808119,0.8038542607648299,534,134,134,738,1540
80,80,0.8006843455945253,0.8055555555555556,0.8026936026936027,0.8057709419092411,0.8036945960534997,534,134,134,738,1540
81,81,0.7982456140350878,0.7991803278688525,0.8192281651997292,0.8034339098598662,0.8026505157112017,534,134,134,738,1540
