,muestra,AMCM,GDL,MTY,PROV,28 CDS,AMCM_upm,GDL_upm,MTY_upm,PROV_upm,28 CDS_upm
0,0,0.8013172338090011,0.8027322404371585,0.8002159827213823,0.8059233801677954,0.8035277764463404,668,167,167,923,1925
1,1,0.7984243877376263,0.8027322404371585,0.8002159827213823,0.808418917205528,0.8035960477941176,534,167,167,738,1606
2,2,0.8016928657799275,0.8027322404371585,0.8002159827213823,0.8059606848446417,0.8035837750633786,534,167,167,738,1606
3,3,0.8013347022587269,0.8027322404371585,0.8002159827213823,0.8026996341617257,0.8019824671976165,534,167,167,738,1606
4,4,0.8008948545861297,0.8027322404371585,0.8002159827213823,0.8029693004529441,0.8019608967375724,534,167,167,738,1606
5,5,0.802321611471492,0.8027322404371585,0.8002159827213823,0.8018520867689966,0.8019284853354761,534,167,167,738,1606
6,6,0.797971114167813,0.8027322404371585,0.8002159827213823,0.8022857142857143,0.8006677027571519,534,167,167,738,1606
7,7,0.7983482450103234,0.8027322404371585,0.8002159827213823,0.8037998733375554,0.8014836965897981,534,167,167,738,1606
8,8,0.8001371271854645,0.8027322404371585,0.8002159827213823,0.8048872653986648,0.8025780578630765,534,167,167,738,1606
9,9,0.802494447291987,0.8027322404371585,0.8002159827213823,0.806264208133367,0.8039878530911592,534,167,167,738,1606
10,10,0.8011615989067304,0.8027322404371585,0.8002159827213823,0.8075319095159863,0.8041148489884807,534,167,167,738,1606
11,11,0.803454231433506,0.8027322404371585,0.8002159827213823,0.8055168923193724,0.8039712230215827,534,167,167,738,1606
12,12,0.8029938059187887,0.8027322404371585,0.8002159827213823,0.8048409580534787,0.8035087719298246,534,167,167,738,1606
13,13,0.7988378055033327,0.8027322404371585,0.8002159827213823,0.8052358669533325,0.8022935779816514,534,167,167,738,1606
14,14,0.7978339350180506,0.8027322404371585,0.8002159827213823,0.801567239635996,0.8002986617655505,534,167,167,738,1606
15,15,0.8010605542251111,0.8027322404371585,0.8002159827213823,0.7994171312721744,0.8004018369690011,534,167,167,738,1606
16,16,0.7983510821023703,0.8027322404371585,0.8002159827213823,0.8100113765642776,0.804306632213609,534,167,167,738,1606
17,17,0.7931982136722776,0.8027322404371585,0.8002159827213823,0.8069069826065036,0.8011813281339604,534,167,167,738,1606
18,18,0.8036998972250771,0.8027322404371585,0.8002159827213823,0.8061829652996846,0.8043565491544855,534,167,167,738,1606
19,19,0.7974315068493151,0.8027322404371585,0.8002159827213823,0.8095957687948621,0.8038137777014259,534,167,167,738,1606
20,20,0.7987972508591066,0.8027322404371585,0.8002159827213823,0.8068354430379747,0.8030111481438915,534,167,167,738,1606
21,21,0.8008234688625836,0.8027322404371585,0.8002159827213823,0.8006868481302467,0.8008979450872042,534,167,167,738,1606
22,22,0.8003789183603169,0.8027322404371585,0.8002159827213823,0.8045672470350744,0.8025152176409786,534,167,167,738,1606
23,23,0.8027199173695989,0.8027322404371585,0.8002159827213823,0.8108313298747312,0.8061400482925146,534,167,167,738,1606
24,24,0.8048151332760103,0.8027322404371585,0.8002159827213823,0.802678120262759,0.8031355883535289,534,167,167,738,1606
25,25,0.8046662125340599,0.8027322404371585,0.8002159827213823,0.799873896595208,0.8018188057652711,534,167,167,738,1606
26,26,0.7970618380594465,0.8027322404371585,0.8002159827213823,0.8025348542458809,0.8004705612303454,534,167,167,738,1606
27,27,0.7975163849603312,0.8027322404371585,0.8002159827213823,0.8079979815819351,0.8031251795254782,534,167,167,738,1606
28,28,0.8007954348953831,0.8027322404371585,0.8002159827213823,0.8058704963466868,0.8032523128196288,534,167,167,738,1606
29,29,0.8021564264932398,0.8027322404371585,0.8002159827213823,0.8010088272383354,0.8014895445431108,534,167,167,738,1606
30,30,0.7965753424657535,0.8027322404371585,0.8002159827213823,0.8027795325331649,0.8004243849286001,534,167,167,738,1606
31,31,0.8009924709103354,0.8027322404371585,0.8002159827213823,0.804427577482606,0.8026504503470828,534,167,167,738,1606
32,32,0.8050554016620498,0.8027322404371585,0.8002159827213823,0.8071175278622087,0.8052322231185893,534,167,167,738,1606
33,33,0.8030484672032883,0.8027322404371585,0.8002159827213823,0.8087121212121212,0.805286394128777,534,167,167,738,1606
34,34,0.7985908231654923,0.8027322404371585,0.8002159827213823,0.8039116719242902,0.8016182715482613,534,167,167,738,1606
35,35,0.795232378665752,0.8027322404371585,0.8002159827213823,0.8056818181818182,0.8012963919004188,534,167,167,738,1606
36,36,0.8029809833818743,0.8027322404371585,0.8002159827213823,0.8120873539867953,0.8067835584938201,534,167,167,738,1606
37,37,0.7993156544054748,0.8027322404371585,0.8002159827213823,0.8012398785425101,0.8006425334174746,534,167,167,738,1606
38,38,0.8049572649572649,0.8027322404371585,0.8002159827213823,0.8042790226610963,0.8039125695599794,534,167,167,738,1606
39,39,0.798323640095792,0.8027322404371585,0.8002159827213823,0.8085858585858586,0.8036451169188445,534,167,167,738,1606
40,40,0.8023715415019763,0.8027322404371585,0.8002159827213823,0.8054642044017202,0.8035847647498133,534,167,167,738,1606
41,41,0.7963121051732969,0.8027322404371585,0.8002159827213823,0.8041054232133806,0.800929378693133,534,167,167,738,1606
42,42,0.8029599036310445,0.8027322404371585,0.8002159827213823,0.8044579533941236,0.803323940422106,534,167,167,738,1606
43,43,0.8004815961472308,0.8027322404371585,0.8002159827213823,0.806537438236412,0.8034389556616252,534,167,167,738,1606
44,44,0.802411714039621,0.8027322404371585,0.8002159827213823,0.808499873513787,0.8049790145460818,534,167,167,738,1606
45,45,0.801607662048914,0.8027322404371585,0.8002159827213823,0.8064598168870803,0.8037716322658541,534,167,167,738,1606
46,46,0.7976251935983479,0.8027322404371585,0.8002159827213823,0.8076632215780186,0.8030068284845355,534,167,167,738,1606
