,Muestra,DOMINIO,categoria,proporcion,cv,sd,ic_inf,ic_sup,deff,n,tm,cant_upms
0,0,AMCM,tv_rest,0.4245011270489921,0.02790133721773676,0.011844149095103245,0.40128659482258977,0.4477156592753945,1.6291866072827046,2805,961,330
1,0,AMCM,NSE_1,0.2623723424780094,0.04339259497782627,0.011385016790531785,0.2400577095685671,0.2846869753874517,2.0542248978635236,2805,961,330
2,0,AMCM,NSE_2,0.19559686081192962,0.043786397188339585,0.008564481836303523,0.1788104764127747,0.21238324521108454,1.276301112520931,2805,961,330
3,0,AMCM,NSE_3,0.34129296488396904,0.031684268189082786,0.010813617830430888,0.3200982739363245,0.3624876558316136,1.4222917361383276,2805,961,330
4,0,AMCM,NSE_4,0.20073783182609203,0.04171924767073586,0.008374631322839256,0.1843235544333271,0.21715210921885697,1.1999619884926116,2805,961,330
5,0,AMCM,sky,0.059656532219890646,0.08740015877830501,0.005213990388181511,0.049437111059054885,0.06987595338072641,1.3702098266237246,2805,961,330
6,0,AMCM,dish,0.021613888791783938,0.13290289560753457,0.002872548405767322,0.01598369391647999,0.027244083667087887,0.993163084624032,2805,961,330
7,0,AMCM,cable,0.34611479918657,0.03459227923749543,0.011972899781691486,0.3226479156144547,0.3695816827586853,1.8231044750594738,2805,961,330
8,0,AMCM,internet,0.8039374973729952,0.01004686785988812,0.008077053803715636,0.7881064719177125,0.819768522828278,1.1119555989433423,2805,961,330
9,0,AMCM,streaming,0.7241962682772375,0.014016842953241897,0.010150945359765875,0.7043004153720964,0.7440921211823786,1.3898568684902046,2805,961,330
10,0,GDL,tv_rest,0.5172032256302224,0.039165652957486884,0.020256602043526074,0.47750028562491126,0.5569061656355334,1.2090477272626212,736,961,83
11,0,GDL,NSE_1,0.31172262853451793,0.06031089920566619,0.018800272029670634,0.2748740953563635,0.3485711617126724,1.1895170987293437,736,961,83
12,0,GDL,NSE_2,0.1925531463000708,0.08580744133969952,0.016522492805917905,0.1601690604004717,0.2249372321996699,1.2773669241753485,736,961,83
13,0,GDL,NSE_3,0.3268757884544976,0.06407180592790271,0.020943522080386752,0.2858264851769396,0.3679250917320556,1.4963377720256044,736,961,83
14,0,GDL,NSE_4,0.16884843671091335,0.08652358337569475,0.01460937179161243,0.140214067999353,0.1974828054224737,1.1365370649703506,736,961,83
15,0,GDL,sky,0.05765929097950802,0.226436593727536,0.013056173446144638,0.03206919102506453,0.0832493909339515,2.4423691923306645,736,961,83
16,0,GDL,dish,0.019840798872147826,0.29104262849565693,0.0057745182552035685,0.008522743091948832,0.031158854652346822,1.3158761224667588,736,961,83
17,0,GDL,cable,0.4408457713765677,0.046416708881204874,0.020462609831496344,0.4007390561068349,0.4809524866463005,1.2528946550348417,736,961,83
18,0,GDL,internet,0.7641900804539772,0.020929039301754958,0.015993764227832573,0.7328423025674253,0.795537858340529,1.0877027453452508,736,961,83
19,0,GDL,streaming,0.7094494053482752,0.024543306937042382,0.017412234511764914,0.6753214257052159,0.7435773849913344,1.1246254268752953,736,961,83
20,0,MTY,tv_rest,0.4733000257821602,0.04705808550836029,0.022272593084366025,0.4296457433368028,0.5169543082275176,1.422372738905688,714,961,81
21,0,MTY,NSE_1,0.30671932931122714,0.07904703208649283,0.024245252665612133,0.25919863408662736,0.3542400245358269,2.122028864913534,714,961,81
22,0,MTY,NSE_2,0.19444177305341334,0.08854664883251172,0.01721716739693153,0.16069612495542754,0.22818742115139914,1.3290519676379804,714,961,81
23,0,MTY,NSE_3,0.36110922432443876,0.06614757027540265,0.023886497793096952,0.3142916886499687,0.4079267599989088,1.7307521202133713,714,961,81
24,0,MTY,NSE_4,0.13772967331092054,0.10180229304849696,0.014021196563872082,0.11024812804573125,0.16521121857610982,1.102302059092188,714,961,81
25,0,MTY,sky,0.03585462069679804,0.2488560950929197,0.00892264089764294,0.018366244537417878,0.0533429968561782,1.5630370046556619,714,961,81
26,0,MTY,dish,0.035910640051078135,0.3054991773329309,0.01097067099310337,0.014408124904595528,0.05741315519756074,2.757804210658428,714,961,81
27,0,MTY,cable,0.40286840740976515,0.0564679498531491,0.022749153027032662,0.35828006747678115,0.44745674734274915,1.5378841620491623,714,961,81
28,0,MTY,internet,0.83578077916289,0.020193747685753764,0.016877546175018087,0.8027007886598545,0.8688607696659254,1.3424365507822331,714,961,81
29,0,MTY,streaming,0.6946980540668594,0.030896696204957934,0.021463874730679195,0.6526288595947282,0.7367672485389906,1.4717735666225495,714,961,81
30,0,PROV,tv_rest,0.4575672046540481,0.025080517795415376,0.011476022418924323,0.43507420071295644,0.48006020859513976,2.0570129342754986,3862,961,467
31,0,PROV,NSE_1,0.31326413817030574,0.03129984730862155,0.009805119691997493,0.29404610357399064,0.33248217276662084,1.772001273601579,3862,961,467
32,0,PROV,NSE_2,0.19066137277120893,0.037729652075313716,0.007193587258859405,0.17656194174384449,0.20476080379857337,1.2452652233977857,3862,961,467
33,0,PROV,NSE_3,0.3166440932550829,0.029057178828685203,0.009200784042759818,0.29861055653127366,0.33467762997889217,1.5069094234772795,3862,961,467
34,0,PROV,NSE_4,0.17943039580340242,0.04407194007426293,0.007907845651348831,0.16393101832675872,0.19492977328004613,1.626306226814947,3862,961,467
35,0,PROV,sky,0.05695574137467119,0.08395138004182122,0.004781513089708702,0.04758397571884213,0.06632750703050025,1.616770795317546,3862,961,467
36,0,PROV,dish,0.01626849739911254,0.13575099720070416,0.0022084647448865893,0.011939906499134827,0.020597088299090256,1.0894396388951824,3862,961,467
