,muestra,AMCM,GDL,MTY,PROV,28 CDS,AMCM_upm,GDL_upm,MTY_upm,PROV_upm,28 CDS_upm
53,53,0.7946035242290749,0.7864806866952789,0.8351293103448276,0.7946821271491403,0.7975033352391843,334,85,85,467,971
54,54,0.7877539813289401,0.7791932059447984,0.809119830328738,0.7990478079746082,0.7942846328538986,334,85,85,467,971
55,55,0.7935893893340702,0.8202614379084967,0.7804621848739496,0.8014705882352942,0.7984982416120141,334,85,85,467,971
56,56,0.8020948180815877,0.8053475935828877,0.7818756585879874,0.8137668071442906,0.8060981419723678,334,85,85,467,971
57,57,0.8068681318681319,0.7967567567567567,0.7741935483870968,0.7934760856513908,0.796702249332825,334,85,85,467,971
58,58,0.8007176373171405,0.7984913793103449,0.7983014861995754,0.8139952153110048,0.8066419259682177,334,85,85,467,971
59,59,0.7921611923820039,0.7997881355932204,0.80042689434365,0.7992795677406443,0.7969717169793353,334,85,85,467,971
60,60,0.8038674033149171,0.8026030368763557,0.8129032258064516,0.8131846245767775,0.8090155341656342,334,85,85,467,971
61,61,0.807094133697135,0.8050108932461874,0.8109559613319012,0.8005140371688414,0.8041051835035944,334,85,85,467,971
62,62,0.8006509357200976,0.7911255411255411,0.8025210084033614,0.7934017300341983,0.7965635086386937,334,85,85,467,971
63,63,0.8001646994235521,0.8120300751879699,0.791974656810982,0.8019623548257909,0.8013314312886353,334,85,85,467,971
64,64,0.7996177996177997,0.8030139935414424,0.7739221871713985,0.8165938864628821,0.8056894433418391,334,85,85,467,971
65,65,0.8099128540305011,0.8072805139186295,0.8145766345123259,0.8049025517379947,0.8077215671357931,334,85,85,467,971
66,66,0.8048179578428689,0.8331562167906482,0.8107822410147991,0.793736285657291,0.8026153700369563,334,85,85,467,971
67,67,0.8018216947281258,0.8143009605122732,0.7720430107526882,0.8046231155778895,0.8016244624940277,334,85,85,467,971
68,68,0.8025337372624621,0.7946236559139785,0.8293991416309013,0.8131494804156675,0.8092788415737829,334,85,85,467,971
69,69,0.7995049504950495,0.7870967741935484,0.8201284796573876,0.8197217180883243,0.8098288555311215,334,85,85,467,971
70,70,0.8022521285361165,0.8188638799571275,0.7810839532412327,0.8048293753741768,0.8030590917727531,334,85,85,467,971
71,71,0.8030760780005493,0.7963752665245203,0.7873684210526316,0.806791104050834,0.8028395646000946,334,85,85,467,971
72,72,0.8040337966748433,0.816435432230523,0.8054679284963197,0.8057210965435042,0.8060617505429138,334,85,85,467,971
73,73,0.8043895747599451,0.8017241379310345,0.8163481953290871,0.8026709188758222,0.804405620964679,334,85,85,467,971
74,74,0.800978792822186,0.8021505376344086,0.8152173913043478,0.8107249255213506,0.8069677175044968,334,85,85,467,971
75,75,0.8023770038695411,0.8095238095238095,0.795142555438226,0.8071901988351075,0.8046524930879969,334,85,85,467,971
76,76,0.8119190814652816,0.8114224137931034,0.7655099894847529,0.8152498506868405,0.8092803030303031,334,85,85,467,971
77,77,0.7945130315500686,0.8006396588486141,0.8021276595744681,0.7966879489225858,0.7967726625533934,334,85,85,467,971
78,78,0.7925722145804677,0.7795698924731183,0.7914937759336099,0.8053290912706303,0.7974048115173328,334,85,85,467,971
79,79,0.7908766144545205,0.7967914438502673,0.8064864864864865,0.8135353535353536,0.8035218681213513,334,85,85,467,971
80,80,0.8159645232815964,0.7966101694915254,0.7732620320855615,0.8045518067478539,0.8049733231707317,334,85,85,467,971
81,81,0.7938764352104976,0.7942122186495176,0.7948442534908701,0.7954226059024292,0.7947253165762164,334,85,85,467,971
82,82,0.802360691737579,0.8095238095238095,0.7943037974683544,0.8115015974440895,0.8066140834362824,334,85,85,467,971
83,83,0.8123110744710085,0.792332268370607,0.7833859095688749,0.8096851335193304,0.8066748838532284,334,85,85,467,971
84,84,0.8110894399554194,0.8047464940668824,0.8067226890756303,0.8066320415501398,0.8080007637960664,334,85,85,467,971
85,85,0.8036055722480197,0.8112407211028632,0.7794117647058824,0.798960831334932,0.799905303030303,334,85,85,467,971
86,86,0.8105934553521907,0.7769477054429029,0.8271739130434783,0.8053946053946054,0.8065533053114253,334,85,85,467,971
87,87,0.8124485878804497,0.8302094818081588,0.8252947481243301,0.8105894105894106,0.8142394205108654,334,85,85,467,971
88,88,0.8106039901612463,0.7885032537960954,0.7473460721868365,0.8064645653483237,0.801028179741051,334,85,85,467,971
89,89,0.8044862918859041,0.8029978586723768,0.7654584221748401,0.8055444754686877,0.8013718205201487,334,85,85,467,971
90,90,0.8065910318746623,0.8122317596566524,0.7915766738660908,0.8069860279441118,0.8059602649006623,334,85,85,467,971
91,91,0.7906659388646288,0.8015102481121898,0.8457446808510638,0.814486921529175,0.8078278259213408,334,85,85,467,971
92,92,0.7936507936507936,0.8103448275862069,0.8227176220806794,0.8046843985708615,0.8029729217951146,334,85,85,467,971
93,93,0.808899808899809,0.7778969957081545,0.7917109458023379,0.8059760956175299,0.8032398635846911,334,85,85,467,971
94,94,0.7978201634877384,0.7974137931034483,0.8196891191709844,0.8140413683373111,0.8074780473987347,334,85,85,467,971
95,95,0.801920438957476,0.8238512035010941,0.8104008667388949,0.8095617529880478,0.8082270043801181,334,85,85,467,971
96,96,0.8203017832647462,0.80931744312026,0.8208955223880597,0.810702875399361,0.8148183374548221,334,85,85,467,971
97,97,0.8052950910093767,0.8227176220806794,0.8069620253164557,0.808678102926337,0.8086142679782256,334,85,85,467,971
98,98,0.8032471106219042,0.8195652173913044,0.804416403785489,0.8107837241932251,0.8083666857251763,334,85,85,467,971
99,99,0.8021172638436482,0.8,0.8168103448275862,0.8039098344304807,0.8040719696969697,334,85,85,467,971
100,100,0.7996711427788435,0.8255687973997833,0.7805907172995781,0.8116260487415102,0.8059091772753183,334,85,85,467,971
101,101,0.7921195652173914,0.8066298342541437,0.7885835095137421,0.8189398451459202,0.8058289174867524,334,85,85,467,971
102,102,0.786479802143446,0.7801494130202775,0.8100320170757738,0.8076770087509945,0.7981216203396262,334,85,85,467,971
103,103,0.8029257521391112,0.8058252427184466,0.8160676532769556,0.8112041467304625,0.808314307458143,334,85,85,467,971
104,104,0.8033645890788748,0.8177874186550976,0.8,0.7959386820625124,0.8007790233707012,334,85,85,467,971
105,105,0.80109439124487,0.792332268370607,0.7735449735449735,0.8107782022923788,0.8024162861491628,334,85,85,467,971
106,106,0.8150163220892275,0.7954790096878364,0.8231511254019293,0.8178202068416865,0.8153511262540223,334,85,85,467,971
107,107,0.8045629466739967,0.791974656810982,0.8086225026288117,0.8071328949990038,0.8050213169114164,334,85,85,467,971
108,108,0.798362892223738,0.7908704883227177,0.7760252365930599,0.8129984051036683,0.8026290902212975,334,85,85,467,971
109,109,0.8119001919385797,0.8061002178649237,0.778372591006424,0.8015540944411237,0.8034797490017114,334,85,85,467,971
110,110,0.8045726728361459,0.798728813559322,0.7866805411030177,0.8043609933373713,0.802316748955564,334,85,85,467,971
111,111,0.7935729847494554,0.8019375672766416,0.7788461538461539,0.7996027805362462,0.7958758986000757,334,85,85,467,971
112,112,0.8027899343544858,0.7970244420828906,0.8207043756670224,0.8109792881560426,0.8077472161416198,334,85,85,467,971
113,113,0.8049972840847366,0.7917570498915402,0.8244111349036403,0.8022790883646541,0.8042694497153701,334,85,85,467,971
114,114,0.8022938285090114,0.7819548872180451,0.8070907194994786,0.8059138717999603,0.8026626380889434,334,85,85,467,971
115,115,0.8039376538146021,0.7997847147470398,0.7580299785867237,0.8058,0.8003802281368821,334,85,85,467,971
116,116,0.8015329865863674,0.8010752688172043,0.8295331161780674,0.8075079872204473,0.8067922374429224,334,85,85,467,971
117,117,0.8069252077562327,0.7941810344827587,0.80931744312026,0.8000791765637372,0.8027204413583183,334,85,85,467,971
118,118,0.7986762272476559,0.8220524017467249,0.782608695652174,0.8093338651775029,0.8043623202209734,334,85,85,467,971
119,119,0.7925764192139738,0.8085106382978723,0.8037077426390403,0.8026789284286285,0.7997719281573695,334,85,85,467,971
120,120,0.8082635700783148,0.7973713033953997,0.8419936373276776,0.8085617123424685,0.8104754688387952,334,85,85,467,971
121,121,0.8051109238977815,0.8017241379310345,0.8183738120380147,0.7943163751987281,0.8008215513947268,334,85,85,467,971
122,122,0.7984602694528458,0.7970244420828906,0.7995712754555199,0.8056338028169014,0.801831886270394,334,85,85,467,971
123,123,0.8075639599555061,0.8214285714285714,0.7574468085106383,0.8016860698514653,0.8014748132541659,334,85,85,467,971
124,124,0.804904338453247,0.8015102481121898,0.7981269510926119,0.8060362173038229,0.8045226606112215,334,85,85,467,971
125,125,0.7891981262055663,0.8014941302027748,0.8002114164904862,0.8042561734591448,0.798437053273611,334,85,85,467,971
126,126,0.8154097468009801,0.8127018299246501,0.801063829787234,0.8010377170225504,0.8070690798824979,334,85,85,467,971
127,127,0.80740536059685,0.7937701396348013,0.7772020725388601,0.8049809198634263,0.8022679626453212,334,85,85,467,971
128,128,0.7955227955227955,0.7976318622174381,0.7854030501089324,0.8054325955734406,0.7995229007633587,334,85,85,467,971
129,129,0.8083172679702562,0.7955271565495208,0.8189473684210526,0.8071641791044776,0.8075865339023234,334,85,85,467,971
130,130,0.8056792873051225,0.8311688311688312,0.7976694915254238,0.8049023515344759,0.8068333651460202,334,85,85,467,971
131,131,0.7929431072210066,0.8141783029001074,0.7943037974683544,0.8083916083916084,0.8022770398481973,334,85,85,467,971
